VehicleNumber,Time,Longitude,Lattitude,Line
1000,2024-02-21 20:45:56,21.188796,52.149903,213
1003,2024-02-21 20:45:59,21.1144205,52.2137598,219
1004,2024-02-21 20:45:45,21.102341,52.222783,213
1005,2024-02-21 20:45:54,21.0970173,52.2211781,219
1007,2024-02-21 20:46:03,21.0905818,52.2222608,311
10072,2024-02-21 20:44:07,21.184107,52.4193521,L31
10073,2024-02-21 20:46:00,20.8851328,52.40984,L49
10074,2024-02-21 20:46:03,21.057671,52.0761125,L23
1010,2024-02-21 20:45:58,21.1015611,52.2233771,213
1013,2024-02-21 20:45:46,21.187793,52.183896,219
1021,2024-02-21 20:46:02,21.044771,52.176987,108
1024,2024-02-21 20:46:04,21.0175751,52.2286969,107
1026,2024-02-21 20:45:58,21.0236767,52.1797729,108
1028,2024-02-21 20:46:04,21.068172,52.182922,108
1031,2024-02-21 20:46:01,21.0234302,52.2283647,108
1033,2024-02-21 20:46:04,20.99593,52.188442,192
1038,2024-02-21 20:46:03,20.9752964,52.2113414,208
1043,2024-02-21 20:45:55,21.0437983,52.2214183,107
1044,2024-02-21 20:45:57,21.04512,52.2620017,107
1045,2024-02-21 20:46:03,20.979345,52.2445317,107
1046,2024-02-21 20:46:02,21.0571683,52.1930767,107
1048,2024-02-21 20:45:46,21.045763,52.264873,204
1049,2024-02-21 20:45:51,21.047023,52.262768,204
1050,2024-02-21 20:45:48,20.979199,52.18413,228
1051,2024-02-21 20:45:56,20.892923,52.200268,207
1052,2024-02-21 20:45:51,20.8929733,52.2004117,228
1053,2024-02-21 20:46:00,20.9755283,52.2102667,208
1054,2024-02-21 20:45:55,20.913395,52.208766,228
1055,2024-02-21 20:45:54,20.956518,52.202011,208
1059,2024-02-21 20:46:03,20.89687,52.1960866,207
1060,2024-02-21 20:46:03,21.0372534,52.2181814,108
1061,2024-02-21 20:46:04,21.109388,52.164909,263
1066,2024-02-21 20:46:03,20.9955812,52.1874379,192
1068,2024-02-21 20:46:04,21.058386,52.192974,107
1069,2024-02-21 20:46:03,21.0463457,52.2152874,107
1070,2024-02-21 20:46:04,21.006403,52.238312,107
1071,2024-02-21 20:46:02,21.074497,52.206856,108
1076,2024-02-21 20:46:00,21.0256074,52.1863459,107
1106,2024-02-21 20:45:59,20.9491175,52.20967,178
1200,2024-02-21 20:46:03,20.9650865,52.2476232,106
1201,2024-02-21 20:46:04,21.024221,52.17971,218
1203,2024-02-21 20:46:00,21.017363,52.213024,118
1204,2024-02-21 20:46:03,20.99534,52.188236,106
1206,2024-02-21 20:46:03,20.988869,52.185383,218
1207,2024-02-21 20:46:04,21.0331135,52.2040762,166
1208,2024-02-21 20:45:59,20.9655299,52.237964,106
1209,2024-02-21 20:46:03,21.0080269,52.1889604,218
1211,2024-02-21 20:46:02,21.107885,52.174362,263
1213,2024-02-21 20:46:04,21.0270965,52.26009,166
1214,2024-02-21 20:46:03,21.0548427,52.149578,263
1216,2024-02-21 20:45:59,21.057318,52.148281,263
1217,2024-02-21 20:46:04,21.1126967,52.2363122,168
1218,2024-02-21 20:46:04,21.033554,52.177185,139
1219,2024-02-21 20:46:04,21.1091727,52.1053521,139
1220,2024-02-21 20:46:03,20.9959195,52.1933506,168
1221,2024-02-21 20:46:00,21.019356,52.2463779,106
1222,2024-02-21 20:46:04,21.020454,52.179623,218
1224,2024-02-21 20:46:03,21.0490561,52.1781857,263
1401,2024-02-21 20:45:55,21.0360705,52.2335966,118
1411,2024-02-21 20:46:03,21.1174587,52.2333227,117
1413,2024-02-21 20:46:02,21.2646869,52.1064442,702
1414,2024-02-21 20:46:04,21.104837,52.236969,146
1415,2024-02-21 20:46:00,21.1334372,52.2099899,119
1416,2024-02-21 20:46:01,21.0051441,52.2295794,117
1417,2024-02-21 20:46:03,21.1156829,52.2346844,142
1418,2024-02-21 20:46:01,21.21261,52.161087,115
1419,2024-02-21 20:46:04,21.063231,52.228321,147
1420,2024-02-21 20:46:04,21.087063,52.244713,183
1422,2024-02-21 20:46:03,21.1770757,52.256851,153
1424,2024-02-21 20:46:04,21.108858,52.208721,119
1425,2024-02-21 20:46:00,21.1677647,52.2527881,183
1427,2024-02-21 20:46:03,21.170298,52.277046,115
1428,2024-02-21 20:46:02,21.228807,52.216576,147
1429,2024-02-21 20:46:01,21.100946,52.242657,173
1430,2024-02-21 20:46:04,21.071819,52.251503,123
1500,2024-02-21 20:46:00,21.1189501,52.3382745,240
1508,2024-02-21 20:43:20,21.0440765,52.2650991,117
1509,2024-02-21 20:45:59,21.069137,52.2661416,156
1513,2024-02-21 20:45:58,21.0409711,52.2889003,156
1519,2024-02-21 20:46:03,21.0475781,52.2846385,169
1520,2024-02-21 20:45:52,21.0523483,52.2504,147
1523,2024-02-21 20:45:56,21.127624,52.233651,173
1525,2024-02-21 20:45:55,21.0436817,52.2377317,146
1526,2024-02-21 20:45:56,21.192418,52.224859,730
1527,2024-02-21 20:45:57,21.052211,52.248323,146
1528,2024-02-21 20:45:58,21.0204183,52.2112767,119
1529,2024-02-21 20:45:55,21.20469,52.1594883,146
1533,2024-02-21 20:45:54,21.096803,52.233138,168
1534,2024-02-21 20:45:59,20.9851717,52.2337667,106
1535,2024-02-21 20:45:55,21.02465,52.190865,218
1536,2024-02-21 20:45:54,20.9987967,52.2364783,106
1539,2024-02-21 20:46:04,21.0465467,52.2648017,170
1540,2024-02-21 20:45:57,20.967511,52.28394,197
1542,2024-02-21 20:45:57,21.0472167,52.2637633,123
1543,2024-02-21 20:46:01,21.06166,52.2324517,123
1544,2024-02-21 20:46:04,21.085519,52.273144,170
1545,2024-02-21 20:46:02,20.954983,52.261609,122
1546,2024-02-21 20:45:52,21.0280367,52.2384117,118
1549,2024-02-21 20:45:55,20.896679,52.234718,122
1551,2024-02-21 20:46:02,21.0474567,52.24774,123
1552,2024-02-21 20:45:53,20.9940433,52.2594883,221
1553,2024-02-21 20:45:57,21.030364,52.207521,166
1554,2024-02-21 20:45:58,20.945245,52.264255,197
1555,2024-02-21 20:45:56,21.091111,52.222006,123
1800,2024-02-21 20:45:53,20.9133016,52.2399276,122
1801,2024-02-21 20:46:01,20.9872556,52.3092071,126
1802,2024-02-21 20:45:59,20.9536545,52.2859536,181
1803,2024-02-21 20:46:01,20.952753,52.3172571,126
1804,2024-02-21 20:45:57,21.102086,52.2420876,123
1806,2024-02-21 20:46:04,21.0471733,52.2640568,117
1807,2024-02-21 20:45:59,21.049958,52.2906386,169
1808,2024-02-21 20:46:03,21.0415931,52.2924848,156
1811,2024-02-21 20:46:02,21.026,52.2596381,170
1812,2024-02-21 20:46:01,20.9723948,52.2822226,181
1813,2024-02-21 20:46:04,20.98251,52.308514,126
1814,2024-02-21 20:46:03,21.0806813,52.2774523,170
1816,2024-02-21 20:45:59,21.0158253,52.2192395,118
1817,2024-02-21 20:45:58,21.1551341,52.2397766,173
1818,2024-02-21 20:46:00,21.0486288,52.2931263,240
1830,2024-02-21 20:46:01,21.1905848,52.1837818,213
1833,2024-02-21 20:45:50,21.02213,52.229281,166
1835,2024-02-21 20:45:59,21.1630295,52.221587,115
1838,2024-02-21 20:46:03,21.1841693,52.2463271,115
1840,2024-02-21 20:46:01,21.0759721,52.2501865,173
1842,2024-02-21 20:45:58,21.190694,52.2474801,173
1844,2024-02-21 20:45:56,21.0458843,52.2649248,166
1848,2024-02-21 20:46:00,21.242485,52.1699805,115
1849,2024-02-21 20:45:56,21.0872056,52.2447198,183
1851,2024-02-21 20:46:02,21.105048,52.2416338,183
1855,2024-02-21 20:46:02,21.1182663,52.2347785,173
1856,2024-02-21 20:46:01,21.0367475,52.2355591,166
1858,2024-02-21 20:45:54,21.2647773,52.247587,173
1859,2024-02-21 20:46:02,21.1398863,52.2449001,183
1862,2024-02-21 20:45:56,21.1917586,52.2387235,183
1869,2024-02-21 20:45:48,21.256108,52.248991,173
1901,2024-02-21 20:46:03,21.0227634,52.2279491,222
1906,2024-02-21 20:45:51,21.002768,52.242913,222
1908,2024-02-21 20:46:03,20.9952409,52.1859109,739
1909,2024-02-21 20:46:03,21.0209409,52.2148989,222
1910,2024-02-21 20:46:04,20.9959349,52.1933892,222
1911,2024-02-21 20:46:02,21.0050467,52.2446769,222
1912,2024-02-21 20:46:02,21.053448,52.173058,251
1913,2024-02-21 20:46:00,21.019735,52.237236,106
1914,2024-02-21 20:46:02,21.1232189,52.0894517,251
1917,2024-02-21 20:46:03,21.103209,52.126148,251
1919,2024-02-21 20:46:02,21.0050006,52.1889514,222
1991,2024-02-21 20:46:02,20.995373,52.186386,163
1997,2024-02-21 20:46:01,20.995287,52.186127,331
2000,2024-02-21 20:46:03,21.007244,52.177357,189
2001,2024-02-21 20:46:01,20.914501,52.229057,189
2002,2024-02-21 20:46:04,21.0689246,52.1812725,189
2004,2024-02-21 20:46:01,21.0176706,52.0669941,709
2005,2024-02-21 20:46:03,21.0187974,52.1057035,709
2007,2024-02-21 20:46:04,21.014872,52.217026,519
2010,2024-02-21 20:46:03,20.896383,52.236588,189
2013,2024-02-21 20:46:01,21.050512,52.158924,401
2015,2024-02-21 20:46:04,20.914036,52.208626,189
2016,2024-02-21 20:46:01,21.05324,52.076462,710
20174,2024-02-21 20:46:01,21.078295,52.2678136,L50
2020,2024-02-21 20:45:59,21.121483,52.088181,710
2021,2024-02-21 20:46:03,21.0592941,52.1838505,189
2023,2024-02-21 20:46:02,21.069017,52.181347,187
2024,2024-02-21 20:46:04,21.0180707,52.2312412,127
2028,2024-02-21 20:46:04,21.0457907,52.149479,217
2030,2024-02-21 20:45:59,21.004982,52.178051,165
2031,2024-02-21 20:46:03,21.0447704,52.1501697,217
2032,2024-02-21 20:45:44,21.023941,52.179101,709
2033,2024-02-21 20:46:03,21.0245039,52.1799519,709
2034,2024-02-21 20:46:04,20.996269,52.188797,166
2036,2024-02-21 20:46:02,21.0009374,52.1990532,525
2039,2024-02-21 20:46:04,21.0686255,52.129028,504
2044,2024-02-21 20:46:03,20.9963952,52.1877199,189
2045,2024-02-21 20:45:51,20.996265,52.186388,162
2200,2024-02-21 20:46:03,20.9972574,52.1888197,136
2202,2024-02-21 20:45:55,20.922313,52.196158,105
2205,2024-02-21 20:46:01,20.927485,52.291004,184
2206,2024-02-21 20:46:02,20.96772,52.218941,717
2208,2024-02-21 20:46:04,20.972013,52.219482,182
2210,2024-02-21 20:46:04,20.965319,52.247894,136
2211,2024-02-21 20:46:04,20.9223427,52.1971606,148
2214,2024-02-21 20:46:04,20.8955271,52.193512,517
2216,2024-02-21 20:46:02,20.9938532,52.2258134,517
2217,2024-02-21 20:46:00,20.8975782,52.2213164,105
2218,2024-02-21 20:46:00,20.922638,52.19611,188
2219,2024-02-21 20:46:03,20.9138821,52.2376592,719
2220,2024-02-21 20:46:02,20.9502677,52.2296686,184
2221,2024-02-21 20:45:59,21.035597,52.222599,171
2222,2024-02-21 20:46:04,21.0433312,52.2229714,517
2223,2024-02-21 20:46:03,20.925154,52.2724409,171
2225,2024-02-21 20:46:03,20.828981,52.192928,716
2226,2024-02-21 20:46:04,21.097958,52.248119,188
2227,2024-02-21 20:46:02,20.8982922,52.1980054,187
2229,2024-02-21 20:44:53,20.921793,52.196276,177
2230,2024-02-21 20:46:03,21.034601,52.221718,523
2231,2024-02-21 20:46:03,21.0454722,52.1652752,401
2232,2024-02-21 20:46:02,21.0025464,52.2279889,517
2235,2024-02-21 20:46:01,20.907904,52.2283289,177
2240,2024-02-21 20:46:02,21.084393,52.167862,317
2242,2024-02-21 20:46:03,21.04892,52.1739842,317
2243,2024-02-21 20:46:03,20.912944,52.1983807,187
2244,2024-02-21 20:46:04,20.9223042,52.1962204,171
2247,2024-02-21 20:46:04,20.922126,52.1962609,521
2248,2024-02-21 20:45:59,20.965002,52.151772,124
2249,2024-02-21 20:46:01,20.86199,52.19099,187
2250,2024-02-21 20:46:04,20.955418,52.212021,172
2251,2024-02-21 20:46:03,20.870373,52.183567,191
2252,2024-02-21 20:46:02,20.862165,52.1903,401
2253,2024-02-21 20:46:02,20.931499,52.164448,706
2255,2024-02-21 20:46:03,20.862316,52.190277,187
2256,2024-02-21 20:46:03,20.9519051,52.2274577,105
2257,2024-02-21 20:46:04,20.896021,52.215492,177
25181,2024-02-21 20:46:04,21.3124303,52.1551175,L22
25183,2024-02-21 20:46:00,21.2820236,52.0990351,L20
25184,2024-02-21 20:46:02,21.255716,52.2530001,L22
25188,2024-02-21 20:46:05,21.2354473,52.0990096,L51
3400,2024-02-21 20:46:02,20.930089,52.2248655,Z26
3401,2024-02-21 20:46:00,21.0419265,52.3003603,500
3402,2024-02-21 20:46:02,20.9659545,52.3306861,723
3403,2024-02-21 20:45:59,20.9432641,52.2391713,190
3404,2024-02-21 20:46:01,20.977873,52.312786,518
3405,2024-02-21 20:45:59,21.0414353,52.257543,512
3406,2024-02-21 20:46:01,20.9640218,52.2753371,112
3408,2024-02-21 20:46:00,21.0467376,52.2921796,500
3411,2024-02-21 20:45:59,21.0378025,52.416406,735
3413,2024-02-21 20:46:03,21.0660233,52.226275,509
3416,2024-02-21 20:46:01,21.004949,52.171497,138
3418,2024-02-21 20:46:01,21.0465806,52.2648488,517
3419,2024-02-21 20:46:01,21.0416215,52.3003985,245
3421,2024-02-21 20:46:03,21.0847231,52.2506911,102
3422,2024-02-21 20:46:01,21.055571,52.2971368,527
3423,2024-02-21 20:46:00,20.9473888,52.2277391,Z26
3424,2024-02-21 20:46:01,20.9997725,52.2890028,705
3425,2024-02-21 20:46:01,21.0448757,52.2658986,145
3426,2024-02-21 20:46:03,21.1020636,52.2219913,509
3427,2024-02-21 20:46:04,21.0311191,52.2884353,145
3428,2024-02-21 20:46:01,21.1027565,52.2226096,509
3430,2024-02-21 20:46:01,21.0471688,52.3343065,120
3431,2024-02-21 20:45:58,20.9156036,52.2102881,127
3432,2024-02-21 20:45:55,21.0683285,52.3234131,160
3433,2024-02-21 20:46:01,20.9778476,52.2789785,112
3435,2024-02-21 20:46:01,21.0437795,52.1571821,503
3436,2024-02-21 20:46:01,20.9255515,52.4215465,731
3437,2024-02-21 20:46:01,21.0470529,52.2637679,414
3438,2024-02-21 20:45:59,21.0414633,52.3000776,500
3439,2024-02-21 20:46:00,20.9250278,52.2723688,116
3440,2024-02-21 20:46:01,21.0248928,52.2930493,112
3442,2024-02-21 20:46:01,21.017959,52.2371843,180
3448,2024-02-21 20:46:01,21.0369028,52.2520426,162
3449,2024-02-21 20:46:00,20.9825256,52.281443,132
3450,2024-02-21 20:45:48,21.110514,52.329698,738
3451,2024-02-21 20:45:53,21.0147868,52.2938115,414
3452,2024-02-21 20:46:01,21.06824,52.3235666,527
3453,2024-02-21 20:45:59,21.0853311,52.3049841,190
3454,2024-02-21 20:46:03,21.122508,52.3441611,738
3455,2024-02-21 20:46:02,21.0618658,52.3098633,120
3456,2024-02-21 20:46:00,21.0008685,52.2925828,731
3458,2024-02-21 20:46:02,21.0383876,52.3586851,120
3459,2024-02-21 20:45:50,20.9668791,52.1997048,414
3460,2024-02-21 20:45:59,20.9446966,52.3034175,511
3461,2024-02-21 20:46:02,21.0426581,52.2494693,512
3462,2024-02-21 20:46:03,21.0823215,52.3044363,112
3467,2024-02-21 20:46:00,20.9916565,52.3010788,509
3468,2024-02-21 20:46:02,21.0445893,52.302833,132
3469,2024-02-21 20:46:00,21.0308186,52.2610481,162
35132,2024-02-21 20:46:03,21.0232476,52.0679658,L-5
35133,2024-02-21 20:46:02,20.8975093,52.0564698,L-5
35134,2024-02-21 20:46:05,21.0353656,52.0834788,L13
35135,2024-02-21 20:46:03,21.1996186,51.9836211,L25
35136,2024-02-21 20:44:35,21.0294923,52.074726,L25
35137,2024-02-21 20:46:02,21.0353643,52.0835386,L-2
35139,2024-02-21 20:44:29,21.0352718,52.083377,L-2
35141,2024-02-21 20:45:50,20.9458578,52.0365523,L12
4203,2024-02-21 20:46:03,20.818382,52.266983,714
4204,2024-02-21 20:46:04,20.921705,52.196564,122
4205,2024-02-21 20:46:01,20.9428545,52.238794,197
4206,2024-02-21 20:45:59,20.900848,52.239155,122
4207,2024-02-21 20:46:04,20.930962,52.225365,255
4209,2024-02-21 20:46:03,20.9401912,52.2466065,249
4211,2024-02-21 20:46:03,20.919168,52.197708,178
4212,2024-02-21 20:46:01,20.918777,52.239822,249
4213,2024-02-21 20:46:01,20.9394382,52.2460375,129
4214,2024-02-21 20:46:00,20.870512,52.18325,207
4215,2024-02-21 20:46:03,20.9630597,52.1957589,154
4217,2024-02-21 20:46:03,20.914169,52.252022,122
4218,2024-02-21 20:46:03,20.96974,52.219456,154
4219,2024-02-21 20:46:04,20.895771,52.185688,178
4220,2024-02-21 20:46:04,20.914597,52.200619,129
4221,2024-02-21 20:46:01,20.9470265,52.2676054,197
4223,2024-02-21 20:45:48,20.919145,52.197141,714
4226,2024-02-21 20:46:02,20.957397,52.185047,154
4227,2024-02-21 20:46:01,20.964006,52.217121,154
4228,2024-02-21 20:46:03,20.930742,52.225021,197
4229,2024-02-21 20:46:03,20.921757,52.196831,255
4234,2024-02-21 20:46:04,20.939386,52.245903,129
4237,2024-02-21 20:46:03,20.952625,52.212315,178
4238,2024-02-21 20:46:04,20.9805867,52.2294479,178
4239,2024-02-21 20:46:03,20.920042,52.197376,178
4240,2024-02-21 20:46:03,20.840771,52.248699,729
4241,2024-02-21 20:46:03,20.883402,52.245716,714
4242,2024-02-21 20:46:04,20.913799,52.237919,714
4246,2024-02-21 20:46:03,21.0042407,52.2554004,178
4247,2024-02-21 20:46:03,20.982527,52.230164,255
4248,2024-02-21 20:46:00,20.873667,52.187981,207
4249,2024-02-21 20:46:04,20.916801,52.177383,220
4300,2024-02-21 20:46:04,21.161966,52.2572662,153
4304,2024-02-21 20:46:03,21.0691074,52.2254891,117
4307,2024-02-21 20:46:03,21.1017217,52.222722,117
4310,2024-02-21 20:45:59,21.0557822,52.2317379,147
4311,2024-02-21 20:46:04,21.3117969,52.1540272,722
4314,2024-02-21 20:46:03,21.2094869,52.1827294,213
4315,2024-02-21 20:46:04,21.1179474,52.2334621,153
4317,2024-02-21 20:46:04,21.1138232,52.2397624,730
4318,2024-02-21 20:46:04,21.0012111,52.2095891,119
4320,2024-02-21 20:46:03,21.0298397,52.2069862,168
4321,2024-02-21 20:46:04,21.0882041,52.2446344,702
4322,2024-02-21 20:46:04,21.1180804,52.1998099,146
4323,2024-02-21 20:46:03,21.0232888,52.2321455,117
4324,2024-02-21 20:46:03,21.2430046,52.2191565,147
4326,2024-02-21 20:46:04,21.1703831,52.2768767,153
4328,2024-02-21 20:46:04,21.2056552,52.2100651,119
4329,2024-02-21 20:46:04,21.0078314,52.2028895,168
4330,2024-02-21 20:46:04,20.9288927,52.2641589,122
4331,2024-02-21 20:46:00,20.8970094,52.2278934,249
4332,2024-02-21 20:46:04,20.9766194,52.2898969,122
4336,2024-02-21 20:46:03,20.9760616,52.2897749,197
4337,2024-02-21 20:46:03,20.9794064,52.2218942,160
4339,2024-02-21 20:46:04,20.9146291,52.2098844,129
4400,2024-02-21 20:45:59,21.04734,52.335831,134
4401,2024-02-21 20:46:02,21.050583,52.31683,134
4402,2024-02-21 20:46:02,20.976561,52.287716,122
4403,2024-02-21 20:46:00,21.032555,52.293556,169
4405,2024-02-21 20:46:02,21.060795,52.140659,166
4406,2024-02-21 20:46:03,21.0434462,52.2661197,134
4408,2024-02-21 20:46:04,21.05718,52.263348,170
4409,2024-02-21 20:46:04,20.983278,52.272861,122
4410,2024-02-21 20:46:03,20.986366,52.269333,181
4411,2024-02-21 20:46:01,21.061995,52.270439,156
4413,2024-02-21 20:46:03,21.061958,52.361633,134
4415,2024-02-21 20:46:03,20.9682772,52.2718165,134
4416,2024-02-21 20:46:03,21.029236,52.208736,166
4417,2024-02-21 20:45:59,21.046537,52.2547,170
4418,2024-02-21 20:46:01,21.052799,52.250317,173
4422,2024-02-21 20:46:03,21.220861,52.217678,173
4423,2024-02-21 20:46:03,21.051804,52.252857,169
4424,2024-02-21 20:46:04,20.900097,52.297237,181
4425,2024-02-21 20:46:01,21.057116,52.301819,126
4427,2024-02-21 20:46:02,21.020523,52.266621,736
4428,2024-02-21 20:46:04,21.217581,52.214382,173
4430,2024-02-21 20:46:04,21.0523997,52.2501507,123
4432,2024-02-21 20:45:58,20.930103,52.224907,197
4433,2024-02-21 20:46:02,20.9403582,52.2365499,197
4434,2024-02-21 20:46:02,20.930851,52.291782,156
5201,2024-02-21 20:45:57,20.9018431,52.2170943,716
5202,2024-02-21 20:46:01,21.1066614,52.247753,523
5203,2024-02-21 20:45:56,20.9080822,52.228321,743
5204,2024-02-21 20:45:55,21.0492487,52.2051561,187
5207,2024-02-21 20:46:03,20.9434335,52.1761207,124
5208,2024-02-21 20:45:54,20.9422281,52.3340654,186
5209,2024-02-21 20:45:47,20.944986,52.174856,706
5212,2024-02-21 20:45:54,20.9864063,52.2834138,414
5213,2024-02-21 20:45:54,20.9430382,52.2263592,105
5214,2024-02-21 20:46:03,21.084109,52.2460461,523
5217,2024-02-21 20:45:55,20.9224879,52.1970621,414
5218,2024-02-21 20:45:58,20.850095,52.1738259,717
5221,2024-02-21 20:45:57,20.9358804,52.2399714,523
5222,2024-02-21 20:45:57,20.9171268,52.2393798,171
5223,2024-02-21 20:46:04,20.8968433,52.2391155,105
5226,2024-02-21 20:46:02,20.9837624,52.2181162,191
5227,2024-02-21 20:46:01,20.9006594,52.2392331,177
5228,2024-02-21 20:45:46,20.868639,52.192255,177
5229,2024-02-21 20:45:56,20.92286,52.19559,523
5230,2024-02-21 20:45:51,21.018648,52.196573,172
5234,2024-02-21 20:45:55,21.00231,52.2169512,188
5237,2024-02-21 20:46:00,20.5863062,52.2575399,719
5239,2024-02-21 20:45:55,20.9655609,52.2381674,136
5240,2024-02-21 20:45:55,21.044701,52.1494416,136
5241,2024-02-21 20:46:00,21.043816,52.222848,517
5244,2024-02-21 20:45:59,20.9218681,52.1968113,148
